nom_compteur,Annee,Mois,Jour,jour_semaine_numero,jour_we,vac_aout,PRECIP_TOTAL_DAY_MM,TOTAL_SNOW_MM,TEMPERATURE_MEAN,jours_feries,Confinement,OPINION,sum_counts
10 avenue de la Grande Armée SE-NO,2023,1,1,6,1,0,0.0,0.0,12.75,1,0,1,287.0
10 avenue de la Grande Armée SE-NO,2023,1,2,0,0,0,6.1,0.0,9.5,0,0,1,404.0
10 avenue de la Grande Armée SE-NO,2023,1,3,1,0,0,0.0,0.0,7.5,0,0,1,658.0
10 avenue de la Grande Armée SE-NO,2023,1,4,2,0,0,0.0,0.0,10.0,0,0,1,610.0
10 avenue de la Grande Armée SE-NO,2023,1,5,3,0,0,0.1,0.0,12.5,0,0,1,709.0
10 avenue de la Grande Armée SE-NO,2023,1,6,4,0,0,0.2,0.0,11.5,0,0,1,672.0
10 avenue de la Grande Armée SE-NO,2023,1,7,5,1,0,0.2,0.0,9.25,0,0,1,551.0
10 avenue de la Grande Armée SE-NO,2023,1,8,6,1,0,1.5,0.0,9.5,0,0,1,405.0
10 avenue de la Grande Armée SE-NO,2023,1,9,0,0,0,1.2,0.0,7.5,0,0,1,531.0
10 avenue de la Grande Armée SE-NO,2023,1,10,1,0,0,1.8,0.0,7.25,0,0,1,626.0
10 avenue de la Grande Armée SE-NO,2023,1,11,2,0,0,0.5,0.0,11.0,0,0,1,743.0
10 avenue de la Grande Armée SE-NO,2023,1,12,3,0,0,0.7,0.0,10.25,0,0,1,742.0
10 avenue de la Grande Armée SE-NO,2023,1,13,4,0,0,1.8,0.0,10.0,0,0,1,751.0
10 avenue de la Grande Armée SE-NO,2023,1,14,5,1,0,0.9,0.0,9.0,0,0,1,495.0
10 avenue de la Grande Armée SE-NO,2023,1,15,6,1,0,2.2,0.0,7.5,0,0,1,409.0
10 avenue de la Grande Armée SE-NO,2023,1,16,0,0,0,4.9,0.0,5.75,0,0,0,457.0
10 avenue de la Grande Armée SE-NO,2023,1,17,1,0,0,0.3,0.1,3.5,0,0,0,577.0
10 avenue de la Grande Armée SE-NO,2023,1,18,2,0,0,0.0,0.0,3.0,0,0,0,595.0
10 avenue de la Grande Armée SE-NO,2023,1,19,3,0,0,0.0,0.0,3.0,0,0,0,989.0
10 avenue de la Grande Armée SE-NO,2023,1,20,4,0,0,0.0,0.0,2.5,0,0,0,665.0
10 avenue de la Grande Armée SE-NO,2023,1,21,5,1,0,0.0,0.0,2.5,0,0,0,421.0
10 avenue de la Grande Armée SE-NO,2023,1,22,6,1,0,0.0,0.0,0.75,0,0,0,346.0
10 avenue de la Grande Armée SE-NO,2023,1,23,0,0,0,0.0,0.0,2.0,0,0,0,568.0
10 avenue de la Grande Armée SE-NO,2023,1,24,1,0,0,0.0,0.0,2.0,0,0,0,619.0
10 avenue de la Grande Armée SE-NO,2023,1,25,2,0,0,0.0,0.0,3.0,0,0,0,622.0
10 avenue de la Grande Armée SE-NO,2023,1,26,3,0,0,1.5,0.0,2.75,0,0,0,569.0
10 avenue de la Grande Armée SE-NO,2023,1,27,4,0,0,0.0,0.0,3.25,0,0,0,551.0
10 avenue de la Grande Armée SE-NO,2023,1,28,5,1,0,0.0,0.0,2.0,0,0,0,459.0
10 avenue de la Grande Armée SE-NO,2023,1,29,6,1,0,0.0,0.0,2.75,0,0,0,346.0
10 avenue de la Grande Armée SE-NO,2023,1,30,0,0,0,0.2,0.0,6.0,0,0,0,617.0
10 avenue de la Grande Armée SE-NO,2023,1,31,1,0,0,0.0,0.0,4.5,0,0,0,871.0
10 avenue de la Grande Armée SE-NO,2023,2,1,2,0,0,0.8,0.0,7.5,0,0,1,706.0
10 avenue de la Grande Armée SE-NO,2023,2,2,3,0,0,0.0,0.0,7.0,0,0,0,633.0
10 avenue de la Grande Armée SE-NO,2023,2,3,4,0,0,0.0,0.0,9.5,0,0,1,669.0
10 avenue de la Grande Armée SE-NO,2023,2,4,5,1,0,0.0,0.0,7.25,0,0,2,448.0
10 avenue de la Grande Armée SE-NO,2023,2,5,6,1,0,0.0,0.0,6.5,0,0,1,699.0
10 avenue de la Grande Armée SE-NO,2023,2,6,0,0,0,0.0,0.0,4.0,0,0,0,655.0
10 avenue de la Grande Armée SE-NO,2023,2,7,1,0,0,0.0,0.0,4.25,0,0,0,858.0
10 avenue de la Grande Armée SE-NO,2023,2,8,2,0,0,0.0,0.0,3.25,0,0,0,727.0
10 avenue de la Grande Armée SE-NO,2023,2,9,3,0,0,0.0,0.0,2.5,0,0,0,752.0
10 avenue de la Grande Armée SE-NO,2023,2,10,4,0,0,0.0,0.0,5.5,0,0,0,744.0
10 avenue de la Grande Armée SE-NO,2023,2,11,5,1,0,0.0,0.0,5.5,0,0,0,583.0
10 avenue de la Grande Armée SE-NO,2023,2,12,6,1,0,0.0,0.0,7.5,0,0,2,491.0
10 avenue de la Grande Armée SE-NO,2023,2,13,0,0,0,0.0,0.0,8.0,0,0,2,684.0
10 avenue de la Grande Armée SE-NO,2023,2,14,1,0,0,0.0,0.0,8.75,0,0,2,2158.0
10 avenue de la Grande Armée SE-NO,2023,2,15,2,0,0,0.0,0.0,8.5,0,0,2,738.0
10 avenue de la Grande Armée SE-NO,2023,2,16,3,0,0,0.0,0.0,8.75,0,0,1,862.0
10 avenue de la Grande Armée SE-NO,2023,2,17,4,0,0,0.0,0.0,11.5,0,0,1,674.0
10 avenue de la Grande Armée SE-NO,2023,2,18,5,1,0,0.0,0.0,10.75,0,0,1,581.0
10 avenue de la Grande Armée SE-NO,2023,2,19,6,1,0,0.0,0.0,11.75,0,0,1,540.0
10 avenue de la Grande Armée SE-NO,2023,2,20,0,0,0,0.0,0.0,10.0,0,0,2,696.0
10 avenue de la Grande Armée SE-NO,2023,2,21,1,0,0,0.0,0.0,9.75,0,0,2,832.0
10 avenue de la Grande Armée SE-NO,2023,2,22,2,0,0,0.3,0.0,10.0,0,0,1,676.0
10 avenue de la Grande Armée SE-NO,2023,2,23,3,0,0,0.3,0.0,8.0,0,0,1,669.0
10 avenue de la Grande Armée SE-NO,2023,2,24,4,0,0,0.0,0.0,6.75,0,0,0,651.0
10 avenue de la Grande Armée SE-NO,2023,2,25,5,1,0,0.0,0.0,5.5,0,0,0,458.0
10 avenue de la Grande Armée SE-NO,2023,2,26,6,1,0,0.0,0.0,4.0,0,0,0,387.0
10 avenue de la Grande Armée SE-NO,2023,2,27,0,0,0,0.0,0.0,3.5,0,0,0,547.0
10 avenue de la Grande Armée SE-NO,2023,2,28,1,0,0,0.0,0.0,2.75,0,0,0,606.0
10 avenue de la Grande Armée SE-NO,2023,3,1,2,0,0,0.0,0.0,3.5,0,0,0,550.0
10 avenue de la Grande Armée SE-NO,2023,3,2,3,0,0,0.0,0.0,3.75,0,0,0,609.0
10 avenue de la Grande Armée SE-NO,2023,3,3,4,0,0,0.0,0.0,5.25,0,0,0,527.0
10 avenue de la Grande Armée SE-NO,2023,3,4,5,1,0,0.0,0.0,3.25,0,0,0,405.0
10 avenue de la Grande Armée SE-NO,2023,3,5,6,1,0,0.0,0.0,6.5,0,0,0,448.0
10 avenue de la Grande Armée SE-NO,2023,3,6,0,0,0,0.0,0.0,6.0,0,0,0,658.0
